ID,kayit_zamani,enlem,boylam,Tesis_Türü,Sonuç,Sızıntı_Olasılığı,Ses_Gücü
6347,24-10-31 15:33:39,39.95896366,32.88300594,Sayaç,L,0.99,140.66
6376,24-11-01 09:58:18,39.96031388,32.88315548,Vana,L,0.99,130.97
6080,24-10-30 15:02:34,39.95874104,32.880385,Sayaç,L,0.99,126.41
6095,24-10-30 15:58:05,39.96022754,32.87283132,Sayaç,N,0.00,102.04
6112,24-10-30 14:54:10,39.95874104,32.880385,Sayaç,L,0.99,89.32
6072,24-10-30 15:02:23,39.95853503,32.88064496,Vana,L,0.99,81.14
6079,24-10-31 15:36:30,39.95896726,32.88328657,Sayaç,L,0.99,68.31
6348,24-10-31 14:22:14,39.95958238,32.88025182,Sayaç,N,0.00,62.02
6086,24-10-31 15:23:48,39.95909728,32.88264977,Vana,L,0.99,56.02
6291,24-10-30 15:02:45,39.95874009,32.88038475,Sayaç,L,0.99,52.42
6342,24-11-01 10:10:02,39.96075578,32.8831372,Sayaç,L,1.00,48.79
6106,24-10-30 14:56:50,39.95874104,32.880385,Sayaç,N,0.01,47.44
6081,24-10-31 11:03:39,39.95992892,32.87592625,Sayaç,L,0.99,45.6
6397,24-10-30 14:49:59,39.95874003,32.88010203,Sayaç,N,0.22,41.87
6074,24-10-30 15:02:06,39.95853503,32.88064496,Vana,L,0.98,34.71
6237,24-11-01 10:31:38,39.95887681,32.88774138,Sayaç,L,1.00,33.55
6070,24-11-01 10:27:33,39.96019503,32.88355865,Sayaç,L,0.99,31.26
6359,24-10-30 15:05:18,39.95874104,32.880385,Sayaç,L,0.99,31.2
6105,24-11-01 10:13:13,39.95887808,32.8813195,Sayaç,N,0.00,29.55
6078,24-10-31 15:19:05,39.96226602,32.87732302,Sayaç,L,0.98,26.37
6415,24-11-01 10:39:08,39.96047579,32.8835558,Sayaç,L,0.95,26.11
6103,24-11-01 09:48:47,39.96019298,32.88508415,Sayaç,L,0.53,25.33
6413,24-10-30 15:22:00,39.96186022,32.87965884,Vana,N,0.13,24.53
6085,24-10-31 15:44:54,39.96255699,32.87631501,Sayaç,L,0.99,24.03
6399,24-11-01 10:06:29,39.96067688,32.88416818,Sayaç,L,0.67,23.62
6338,24-11-01 10:19:24,39.95888348,32.88154313,Sayaç,N,0.00,21.47
6418,24-10-30 15:50:52,39.95892474,32.88067829,Sayaç,L,1.00,21.14
6367,24-10-31 15:59:07,39.95918302,32.880054,Sayaç,N,0.00,21.11
6089,24-10-30 14:58:46,39.95874104,32.880385,Sayaç,N,0.11,19.48
6353,24-10-30 15:44:59,39.95937381,32.88001595,Sayaç,L,0.99,19.02
6389,24-10-30 14:58:14,39.95874104,32.880385,Sayaç,L,1.00,18.81
6404,24-10-31 15:10:58,39.96005296,32.88081301,Sayaç,L,0.99,17.37
6102,24-10-31 10:01:31,39.95895224,32.87770171,Sayaç,L,1.00,17.18
6363,24-11-01 10:01:52,39.95935507,32.88490193,Vana,L,0.99,15.53
6076,24-11-01 10:22:07,39.96191219,32.88125094,Sayaç,L,0.99,15.09
6098,24-10-30 15:24:45,39.96186022,32.87965884,Vana,L,0.77,14.56
6075,24-10-31 10:39:11,39.95907007,32.87520139,Sayaç,L,0.99,12.37
6332,24-10-31 14:16:22,39.96099837,32.87971236,Sayaç,L,0.99,11.3
6157,24-11-01 10:21:54,39.95884469,32.8872663,Sayaç,L,0.97,11.26
6380,24-10-31 11:35:34,39.95970534,32.87736928,Sayaç,L,0.99,11.21
6405,24-11-01 10:23:58,39.95880741,32.88177682,Sayaç,L,0.75,11.18
6092,24-10-30 15:18:33,39.95872796,32.88089197,Sayaç,L,0.43,11.01
6202,24-10-30 16:11:56,39.95927299,32.87953902,Sayaç,L,0.99,10.89
6282,24-10-30 15:03:44,39.95874104,32.880385,Sayaç,L,0.97,10.49
6406,24-10-30 14:59:26,39.9587406,32.88038475,Sayaç,N,0.00,10.4
6262,24-10-31 14:18:21,39.96091691,32.88002618,Sayaç,N,0.01,10.21
6410,24-10-31 14:32:33,39.95892834,32.87518848,Sayaç,L,0.99,10.15
6093,24-10-31 10:25:04,39.9588434,32.87674902,Sayaç,L,1.00,9.15
6124,24-11-01 10:06:39,39.95887448,32.87868524,Sayaç,L,0.99,9.04
6082,24-10-30 15:35:07,39.95937409,32.88001595,Vana,L,0.96,8.99
6077,24-11-01 10:26:54,39.95885315,32.88203297,Sayaç,L,0.99,8.9
6287,24-10-30 15:57:59,39.95927299,32.87953902,Sayaç,L,0.99,8.8
6306,24-10-31 10:25:13,39.9614522,32.87944816,Sayaç,L,0.91,8.68
6183,24-11-01 09:55:09,39.95888201,32.88573605,Sayaç,L,0.97,8.59
6390,24-10-30 14:37:51,39.95874081,32.88038475,Sayaç,L,1.00,8.48
6097,24-11-01 09:53:16,39.96001291,32.88535925,Vana,L,0.99,8.44
6412,24-10-31 14:30:02,39.95910553,32.87924817,Vana,L,0.99,8.09
6111,24-10-31 14:22:08,39.95916618,32.87892262,Vana,N,0.22,7.91
6186,24-10-31 11:24:40,39.96059862,32.87555711,Sayaç,L,0.99,7.9
6374,24-10-30 16:41:24,39.96059505,32.87481002,Sayaç,L,0.99,7.89
6068,24-11-01 09:42:32,39.95886703,32.88111968,Sayaç,L,0.96,7.89
6371,24-11-01 10:04:08,39.95925793,32.88265558,Vana,L,0.99,7.81
6304,24-11-01 10:31:45,39.95873545,32.88230253,Sayaç,L,0.99,7.32
6294,24-10-31 14:28:35,39.96215897,32.87754498,Sayaç,L,0.99,6.93
6249,24-10-31 15:45:01,39.96020005,32.87948119,Sayaç,L,0.99,6.84
6137,24-10-31 10:45:51,39.96140247,32.87919285,Sayaç,L,0.94,6.63
6364,24-10-31 10:42:54,39.95907238,32.87492009,Sayaç,L,0.97,6.62
6385,24-10-31 14:14:32,39.96002761,32.87956635,Sayaç,L,0.99,6.47
6414,24-10-31 10:45:36,39.96137819,32.87903544,Sayaç,L,0.62,6.22
6303,24-10-31 10:22:39,39.96129004,32.87937105,Sayaç,N,0.00,6.21
6354,24-10-31 10:21:24,39.95995076,32.87850587,Sayaç,L,0.99,6.08
6208,24-10-31 10:36:20,39.95984052,32.87776859,Sayaç,N,0.00,6.01
6215,24-10-31 10:59:10,39.96096303,32.8755323,Sayaç,N,0.00,6
6154,24-11-01 10:04:36,39.96031839,32.88400657,Sayaç,N,0.35,5.95
6280,24-10-31 15:54:28,39.96255699,32.87631501,Sayaç,N,0.08,5.76
6212,24-10-30 15:08:13,39.95874001,32.88060801,Sayaç,L,0.99,5.74
6178,24-10-31 15:01:35,39.95914074,32.88115991,Vana,L,0.52,5.65
6176,24-10-31 09:59:46,39.95929995,32.87864584,Sayaç,N,0.31,5.56
6200,24-10-31 15:44:14,39.9602075,32.87949426,Sayaç,L,0.99,5.48
6228,24-11-01 09:47:24,39.95888579,32.87974035,Sayaç,L,0.99,5.42
6386,24-10-31 15:25:24,39.96228204,32.87714196,Sayaç,L,0.99,5.39
6360,24-10-30 15:16:09,39.95869557,32.88057372,Vana,L,1.00,5.37
6326,24-10-31 13:53:02,39.9621434,32.87626958,Sayaç,L,0.99,5.11
6156,24-10-31 14:24:49,39.96218199,32.87733697,Sayaç,L,0.98,5
6352,24-10-30 15:53:17,39.95892474,32.88067829,Sayaç,L,0.99,4.97
6366,24-10-31 10:16:07,39.95926105,32.87759301,Sayaç,L,0.98,4.85
6343,24-11-01 09:47:09,39.96009878,32.88495289,Sayaç,L,0.99,4.78
6090,24-10-31 14:13:13,39.95941135,32.8787942,Sayaç,L,0.99,4.71
6265,24-10-31 11:26:43,39.95974903,32.87605735,Sayaç,N,0.06,4.63
6298,24-10-30 16:35:19,39.9599798,32.87509477,Sayaç,N,0.18,4.61
6168,24-10-30 14:53:28,39.95874104,32.880385,Sayaç,L,0.90,4.59
6365,24-10-31 14:58:44,39.95942882,32.88088934,Vana,L,0.99,4.49
6278,24-10-31 14:21:04,39.96081591,32.87962753,Sayaç,N,0.02,4.41
6257,24-11-01 09:49:04,39.95927073,32.8872378,Vana,N,0.02,4.41
6134,24-10-31 14:37:16,39.95913907,32.87492596,Sayaç,L,0.99,4.4
6071,24-10-31 11:08:28,39.96084701,32.87565299,Sayaç,L,0.99,4.08
6324,24-10-31 14:22:52,39.96028485,32.87964145,Sayaç,L,0.89,4.06
6289,24-10-30 16:02:39,39.95932873,32.87265882,Vana,L,0.99,4.03
6369,24-10-31 11:07:15,39.96124899,32.87577903,Sayaç,L,0.99,3.99
6310,24-11-01 10:08:01,39.95849466,32.88455291,Vana,L,0.99,3.95
6241,24-10-31 14:46:13,39.95938848,32.88043069,Sayaç,N,0.00,3.93
6292,24-11-01 09:58:18,39.96032402,32.88446301,Sayaç,N,0.00,3.93
6113,24-10-31 10:36:47,39.96069139,32.87876001,Sayaç,L,0.99,3.91
6240,24-11-01 10:05:59,39.95923865,32.88265793,Vana,L,0.99,3.84
6391,24-10-31 14:00:49,39.95940454,32.87801184,Sayaç,L,0.54,3.82
6377,24-10-30 15:21:31,39.95872796,32.88089197,Sayaç,L,0.99,3.8
6315,24-10-31 11:33:16,39.96133431,32.87879085,Sayaç,N,0.01,3.7
6198,24-10-31 15:54:03,39.9594472,32.87996013,Vana,N,0.12,3.53
6387,24-10-31 15:45:58,39.9601854,32.87946576,Sayaç,L,0.99,3.51
6268,24-10-31 10:02:26,39.95963693,32.87874861,Sayaç,N,0.00,3.47
6261,24-10-30 15:03:57,39.95927399,32.87980297,Sayaç,N,0.00,3.45
6355,24-10-30 15:05:03,39.95874045,32.88036229,Sayaç,N,0.09,3.45
6160,24-10-31 14:44:27,39.96176704,32.87875802,Sayaç,L,0.60,3.41
6084,24-10-31 15:20:43,39.95908703,32.88204571,Sayaç,N,0.00,3.4
6083,24-10-31 15:08:11,39.95992702,32.88132598,Sayaç,L,0.71,3.39
6314,24-10-30 16:11:15,39.95907803,32.87342604,Sayaç,N,0.19,3.35
6339,24-10-31 11:07:23,39.96035088,32.87526174,Sayaç,N,0.45,3.32
6330,24-10-31 14:33:41,39.96201357,32.87811829,Sayaç,L,0.99,3.29
6122,24-10-31 11:16:45,39.96055257,32.87840294,Sayaç,N,0.12,3.25
6231,24-10-31 10:53:27,39.96005228,32.87575325,Sayaç,N,0.00,3.22
6307,24-10-31 10:43:32,39.96113495,32.87924113,Sayaç,L,0.99,3.19
6250,24-10-31 14:23:34,39.9605949,32.87987061,Sayaç,L,0.99,3.11
6221,24-10-31 10:13:32,39.95890915,32.87807202,Sayaç,L,0.99,3.1
6210,24-10-31 15:03:59,39.96219301,32.87813096,Sayaç,L,0.99,3.06
6296,24-10-31 10:11:17,39.95929995,32.87864584,Sayaç,N,0.16,2.95
