ID,recording_time,latitude,longitude,facil_type,AI_result,Leak_proba,Sound_strength
255,24-11-01 03:00:00,39.95896392,32.88272946,Water Meter,N,0.00,99.37
254,24-11-01 03:10:00,39.95896392,32.88272946,Water Meter,N,0.00,113.05
253,24-11-01 03:20:00,39.95896392,32.88272946,Water Meter,N,0.01,94.57
252,24-11-01 03:30:00,39.95896392,32.88272946,Water Meter,N,0.00,95.88
251,24-11-01 03:00:00,39.95876894,32.88271192,Water Meter,L,1.00,4.53
250,24-11-01 03:10:00,39.95876894,32.88271192,Water Meter,L,1.00,5.37
249,24-11-01 03:20:00,39.95876894,32.88271192,Water Meter,L,1.00,5.24
248,24-11-01 03:30:00,39.95876894,32.88271192,Water Meter,L,1.00,5.67
259,24-11-01 03:00:00,39.95904216,32.88260427,Valve,N,0.25,12
258,24-11-01 03:10:00,39.95904216,32.88260427,Valve,N,0.03,12.18
257,24-11-01 03:20:00,39.95904216,32.88260427,Valve,N,0.38,11.35
256,24-11-01 03:30:00,39.95904216,32.88260427,Valve,N,0.19,9.69
263,24-11-01 03:00:00,39.9589847,32.88298863,Water Meter,N,0.00,1.49
262,24-11-01 03:10:00,39.9589847,32.88298863,Water Meter,N,0.01,0.86
261,24-11-01 03:20:00,39.9589847,32.88298863,Water Meter,N,0.02,0.9
260,24-11-01 03:30:00,39.9589847,32.88298863,Water Meter,N,0.00,0.91

