ID,recording_time,latitude,longitude,facil_type,AI_result,Leak_proba,Sound_strength
6145,24-10-31 09:17:57,39.95876502,32.88033715,Pipe,L,0.99,76.75
6394,24-11-01 10:09:45,39.95890148,32.88260495,Pipe,L,0.99,60.38
6403,24-11-01 10:17:58,39.96011036,32.88368018,Pipe,L,1.00,53.4
6408,24-11-01 10:19:47,39.96012526,32.88368152,Pipe,L,1.00,50.85
6152,24-10-31 09:26:14,39.95875834,32.88029859,Pipe,L,0.99,44.37
6395,24-11-01 10:10:09,39.95889891,32.88257545,Pipe,L,0.99,43.14
6393,24-11-01 10:09:22,39.95889917,32.88261635,Pipe,L,0.99,37.37
6392,24-11-01 10:08:53,39.95890251,32.8826415,Pipe,L,0.99,31.05
6146,24-10-31 09:19:59,39.95876142,32.88030596,Pipe,L,1.00,27.08
6396,24-11-01 10:10:35,39.95889866,32.88255097,Pipe,L,0.99,26.3
6150,24-10-31 09:23:11,39.95875269,32.88019834,Pipe,L,0.99,6.72
6147,24-10-31 09:20:49,39.9587586,32.88028384,Pipe,L,0.99,4.06
6398,24-11-01 10:10:54,39.95889634,32.8825275,Pipe,L,0.96,4.03
6350,24-10-31 15:40:37,39.9601845,32.87949074,Pipe,L,0.99,3.95
6151,24-10-31 09:23:34,39.95874883,32.8801675,Pipe,N,0.18,3.61
6149,24-10-31 09:21:57,39.95875474,32.88023287,Pipe,L,0.99,3.13
6148,24-10-31 09:21:28,39.95875551,32.88025802,Pipe,N,0.45,3.02
6341,24-10-31 15:22:35,39.95929202,32.87834696,Pipe,N,0.01,0.97
