M2_POINT_ID,MEASURE_DATETIME,POINT_NAME,POINT_ADDRESS,POINT_DESC,WATER_PRESSURE,DEVICE_TEMPERATURE,REG_TIME,LATITUDE,LONGITUDE
"1,864",7/1/2024 8:00:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,39.35,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 8:00:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,35.94,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 8:00:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,36.16,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 8:00:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,47.74,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 8:00:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,46.71,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 8:10:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,32.87,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 8:10:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,33.39,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 8:10:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,44.24,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 8:10:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,32.74,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 8:10:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,32.37,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 8:20:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,31.97,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 8:20:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,40.71,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 8:20:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,31.15,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 8:20:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,46.25,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 8:20:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,32.38,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 8:30:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,39.3,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 8:30:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,35.26,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 8:30:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,43.28,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 8:30:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,46.14,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 8:30:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,31.21,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 8:40:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,35.98,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 8:40:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,34.89,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 8:40:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,37.29,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 8:40:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,36.76,14,5/10/2024 4:59,39.88905796,32.79525397
"1,868",7/1/2024 8:40:00,Ankara DMA 1-5,"Çiğdem, 1589. Sokak 16, 06530Ankara, Ankara,
Ankara Türkiye",description_5,30.54,9,5/10/2024 4:59,39.88536496,32.79749503
"1,864",7/1/2024 8:50:00,Ankara DMA 1-1,"Çiğdem, 1575. Cadde 43A, 06530Ankara, Ankara,
Ankara Türkiye",description_1,43.29,20,5/10/2024 4:59,39.88765702,32.79979395
"1,865",7/1/2024 8:50:00,Ankara DMA 1-2,"Çiğdem, 1071 Malazgirt Bulvarı, 06530Ankara, Ankara,
Ankara Türkiye",description_2,44.77,9,5/10/2024 4:59,39.888736,32.799528
"1,866",7/1/2024 8:50:00,Ankara DMA 1-3,"Çiğdem, 1591. Sokak 11, 06530Ankara, Ankara,
Ankara Türkiye",description_3,41.61,14,5/10/2024 4:59,39.88429001,32.79584398
"1,867",7/1/2024 8:50:00,Ankara DMA 1-4,"Çiğdem, 1550/1. Cadde 2C, 06530Ankara, Ankara,
Ankara Türkiye",description_4,34.52,14,5/10/2024 4:59,39.88905796,32.79525397
